,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Height,Weight,foot,Growth,Value,Wage,Release Clause
0,G. Pasquale,33,69,Italy,Udinese,71,LWB,LM,69,72,181lbs,Left,0,625000.0,7000.0,0.0
1,Luis García,37,71,Spain,KAS Eupen,70,CM,CM CAM CDM,71,70,143lbs,Right,0,600000.0,7000.0,1100000.0
2,J. Cole,33,71,England,Coventry City,71,CAM,CAM RM RW LM,71,69,161lbs,Right,0,1100000.0,15000.0,0.0
3,D. Yorke,36,68,Trinidad &amp; Tobago,Sunderland,70,ST,Unknown,82,71,165lbs,Right,14,0.0,0.0,0.0
4,Iniesta,36,81,Spain,Vissel Kobe,82,CAM,CM CAM,81,67,150lbs,Right,0,5500000.0,12000.0,7200000.0
5,D. Odonkor,27,66,Germany,Alemannia Aachen,66,RW,RW RM,70,68,163lbs,Right,4,725000.0,5000.0,0.0
6,E. Belözoğlu,38,77,Turkey,Fenerbahçe SK,77,CM,CM CDM,77,67,159lbs,Left,0,2800000.0,44000.0,5300000.0
7,R. Giggs,39,78,Wales,Manchester United,78,CAM,LM CM CAM,78,70,157lbs,Left,0,1000.0,60000.0,0.0
8,G. Neville  B,35,76,England,Manchester United,78,CB,RB CB RWB,82,70,174lbs,Right,6,0.0,0.0,0.0
9,P. Scholes,37,80,England,Manchester United,82,CAM,CM CDM,80,67,157lbs,Right,0,400000.0,40000.0,0.0
10,P. Neville,35,74,England,Everton,75,CB,CDM CM RB,74,71,168lbs,Right,0,120000.0,7000.0,0.0
11,D. Beckham,37,78,England,Unknown,77,CM,CM RM,78,72,165lbs,Right,0,0.0,0.0,0.0
12,R. Keane,35,80,Republic of Ireland,LA Galaxy,81,CF,ST,80,69,161lbs,Right,0,5500000.0,10000.0,0.0
13,S. Campbell,35,75,England,Newcastle United,75,CB,Unknown,79,74,190lbs,Right,4,0.0,0.0,0.0
14,O. Kahn,38,87,Germany,FC Bayern München,87,GK,GK,90,74,198lbs,Right,3,0.0,0.0,0.0
15,D. Hamann,36,61,Germany,Milton Keynes Dons,67,CB,Unknown,82,74,168lbs,Right,21,0.0,0.0,0.0
16,A. Okocha,33,73,Nigeria,Hull City,76,CF,Unknown,90,68,154lbs,Right,17,0.0,0.0,0.0
17,Zulu,26,66,Brazil,Pohang Steelers,66,ST,Unknown,72,76,198lbs,Right,6,0.0,0.0,0.0
18,M. Schwarzer,42,73,Australia,Leicester City,73,GK,Unknown,73,76,209lbs,Right,0,500000.0,15000.0,0.0
19,J. Lehmann,39,79,Germany,VfB Stuttgart,81,GK,Unknown,87,75,192lbs,Right,8,0.0,0.0,0.0
20,G. Király,39,69,Hungary,Hungary,69,GK,Unknown,69,76,201lbs,Right,0,0.0,0.0,0.0
21,Roberto Carlos,38,79,Brazil,FC Anzhi Makhachkala,79,CDM,CDM LB LM,79,66,154lbs,Left,0,0.0,30000.0,0.0
22,J. Zanetti,39,75,Argentina,Inter,75,CDM,RM RB CM,75,70,165lbs,Right,0,1000.0,45000.0,0.0
23,A. Del Piero,38,70,Italy,Sydney FC,74,CAM,ST CAM,70,69,163lbs,Right,0,190000.0,30000.0,0.0
24,A. Nesta,37,73,Italy,Montreal Impact,72,CB,CB,73,74,174lbs,Right,0,0.0,6000.0,0.0
25,P. Maldini,40,77,Italy,Milan,78,CB,CB,89,73,187lbs,Right,12,0.0,0.0,0.0
26,G. Buffon,42,82,Italy,Juventus,82,GK,GK,82,76,203lbs,Right,0,2200000.0,41000.0,3600000.0
27,F. Cannavaro,35,82,Italy,Juventus,82,CB,CB,89,69,165lbs,Right,7,0.0,0.0,0.0
28,Couto,37,82,Portugal,Parma,82,CB,Unknown,84,72,185lbs,Right,2,0.0,0.0,0.0
29,F. Inzaghi,37,73,Italy,Milan,72,ST,ST,73,71,163lbs,Right,0,350000.0,15000.0,0.0
30,C. Abbiati,37,75,Italy,Milan,75,GK,GK,75,75,203lbs,Right,0,1300000.0,40000.0,0.0
31,Marco Paulo,35,61,Portugal,CF Estrela da Amadora,64,CF,RM,68,71,168lbs,Right,7,0.0,0.0,0.0
32,F. Totti,39,80,Italy,Roma,82,CAM,CF ST,80,71,181lbs,Right,0,1500000.0,60000.0,0.0
33,C. Seedorf,37,82,Netherlands,Botafogo,81,CAM,CAM,82,70,176lbs,Right,0,2200000.0,60000.0,0.0
34,P. Vieira,34,76,France,Manchester City,77,CDM,CDM CM,87,76,181lbs,Right,11,0.0,0.0,0.0
